Назва,Жанр,Рік,Рейтинг
Movie 01,Action,1983,5.1
Movie 02,Drama,1986,5.2
Movie 03,Comedy,1989,5.3
Movie 04,Sci‑Fi,1992,5.4
Movie 05,Thriller,1995,5.5
Movie 06,Adventure,1998,5.6
Movie 07,Animation,2001,5.7
Movie 08,Fantasy,2004,5.8
Movie 09,,2007,5.9
Movie 10,Drama,,6.0
Movie 11,Comedy,2013,
Movie 12,Sci‑Fi,2016,6.2
Movie 13,Thriller,2019,6.3
Movie 14,Adventure,2022,6.4
Movie 15,Animation,2025,6.5
Movie 16,Fantasy,1982,6.6
Movie 17,Action,1985,6.7
Movie 18,Drama,1988,6.8
Movie 19,Comedy,1991,6.9
Movie 20,Sci‑Fi,1994,7.0
Movie 21,Thriller,1997,7.1
Movie 22,Adventure,2000,7.2
Movie 23,Animation,2003,7.3
Movie 24,Fantasy,2006,7.4
Movie 25,Action,2009,7.5
Movie 26,Drama,2012,7.6
Movie 27,Comedy,2015,7.7
Movie 28,Sci‑Fi,2018,7.8
Movie 29,Thriller,2021,7.9
Movie 30,Adventure,2024,8.0
Movie 31,Animation,1981,8.1
Movie 32,Fantasy,1984,8.2
Movie 33,Action,1987,8.3
Movie 34,Drama,1990,8.4
Movie 35,Comedy,1993,8.5
Movie 36,Sci‑Fi,1996,8.6
Movie 37,Thriller,1999,8.7
Movie 38,Adventure,2002,8.8
Movie 39,Animation,2005,8.9
Movie 40,Fantasy,2008,9.0
Movie 41,Action,2011,5.0
Movie 42,Drama,2014,5.1
Movie 43,Comedy,2017,5.2
Movie 44,Sci‑Fi,2020,5.3
Movie 45,Thriller,2023,5.4
Movie 46,Adventure,1980,5.5
Movie 47,Animation,1983,5.6
Movie 48,Fantasy,1986,5.7
Movie 49,Action,1989,5.8
Movie 50,Drama,1992,5.9
