Product,Price,Amount
Wireless Mouse,24.99,3
Mechanical Keyboard,89.50,2
USB-C Cable,12.99,5
Laptop Stand,34.99,1
Bluetooth Speaker,59.99,2
Webcam HD,45.00,1
Gaming Headset,79.99,4
Portable SSD,129.99,1
Monitor 24 inch,179.99,2
Smartphone Case,14.99,6
Power Bank,39.99,3
Wireless Charger,29.99,2
Desk Lamp,22.50,4
Office Chair,199.99,1
Tablet Holder,18.99,5
Fitness Tracker,69.99,2
Smart Watch,249.99,1
Noise Cancelling Headphones,199.00,2
Microphone USB,55.99,1
Graphic Tablet,89.99,3
Router WiFi 6,119.99,1
External HDD 2TB,89.50,2
HDMI Cable,9.99,8
Ethernet Cable,7.50,10
Laptop Backpack,49.99,2
Phone Stand,11.99,7
LED Strip Lights,16.99,4
Action Camera,149.99,1
Drone Mini,299.99,1
Projector Portable,219.99,2
Coffee Maker,79.99,1
Electric Kettle,34.99,3
Air Fryer,129.99,1
Vacuum Cleaner,189.99,1
Blender,59.99,2
Toaster,29.99,4
Water Bottle,15.99,6
Yoga Mat,24.99,3
Dumbbell Set,89.99,1
Resistance Bands,19.99,5
Running Shoes,99.99,2
Sports T-Shirt,19.99,8
Jeans Classic,49.99,3
Winter Jacket,129.99,1
Sneakers Casual,74.99,2
Sunglasses,39.99,4
Wrist Watch,149.99,1
Leather Wallet,29.99,5
Travel Bag,69.99,2
Umbrella,14.99,6
Notebook A5,4.99,20
Ballpoint Pen,1.99,50
Marker Set,9.99,10
Stapler,7.99,4
Printer Paper Pack,6.99,15
Ink Cartridge,29.99,3
Calculator,14.99,5
Desk Organizer,12.50,4
Whiteboard,39.99,1
Paper Clips Box,2.99,12
Book Python Basics,24.99,2
Book Data Science,34.99,1
Book Machine Learning,39.99,1
Cookbook Deluxe,29.99,2
Novel Mystery,14.99,4
Children Story Book,9.99,6
Puzzle 1000 Pieces,19.99,3
Board Game Family,34.99,2
Toy Car,12.99,8
Building Blocks Set,49.99,1
RC Helicopter,89.99,1
Smart Bulb,17.99,5
Security Camera,79.99,2
Smoke Detector,24.99,3
Door Sensor,19.99,4
Thermostat Smart,149.99,1
Garden Hose,29.99,2
Plant Pot,11.99,6
Tool Kit,59.99,2
Hammer,14.99,3
Screwdriver Set,19.99,4
Electric Drill,99.99,1
Paint Brush Set,12.99,5
Camping Tent,149.99,1
Sleeping Bag,59.99,2
Flashlight LED,18.99,4
Binoculars,79.99,1
Fishing Rod,49.99,2
BBQ Grill,199.99,1
Pet Food 5kg,24.99,4
Cat Toy,7.99,10
Dog Leash,14.99,5
Aquarium Filter,39.99,2
Bird Cage,89.99,1
Facial Cleanser,11.99,6
Shampoo Premium,9.99,8
Body Lotion,13.99,5
Perfume Classic,59.99,2
Electric Toothbrush,49.99,3
